Name, Identification Number,Country Code,Mutation,Disorder,Professional Exposure,Gender,Age,Age At Diagnosis,Age Of Death,Physician
Kallie Hedge,1040161616825,CV,AGTR1,Osteopetrosis,Solvents,M,45,45,100,Ulrike Donaghy
Ebony Cobbs,3224823627262,RU,CELIAC5,Slowed Nerve Conduction Velocity;Ad,,M,45,45,100,Lashunda Porta
Ann Bober,1040648170614,US,FMTLE,Riley-Day Syndrome;Breast Cancer Susceptibility Hypertensive Nephropathy,Chromium,M,45,45,100,Bernardine Stansfield
Genie Kolman,7831120438033,TN,COLCA2,Prostate Cancer Breast Adenocarcinoma,Toluene,M,45,45,100,Jon Hardaway
Newton Fiscus,6851034587608,IR,DEL15Q13.3,Epididymitis,13-Butadiene,F,45,45,45,Newton Fiscus
Lyman Slavin,8534313431443,TZ,COTL1P1,Bleeding Disorder; Platelet-Type; 15 Bleeding Disorder; 16; Autosomal Dominant,Toluene,M,45,45,100,Lakiesha Via
Grisel Failla,7347677774271,US,EPYC,Farber Lipogranulomatosis Lipogranulomatosis,Beryllium,F,45,45,100,Bernardine Stansfield
Simone Schumacher,1850424825270,US,CEBPE,Nor Polyagglutination Syndrome,,F,45,45,100,Erick Bax
Sage Amavisca,1317256724347,VN,LFNG,Leukemia;Acute Lymphoblastic 3;Acute Lymphoblastic Leukemia Chronic Neutrophilic Leukemia,Methylene chloride,F,45,45,100,Garfield Kaspar
Felecia Violette,4047361310477,MK,AHI1,Bardet-Biedl Syndrome 12;Bbs12-Related Bardet-Biedl Syndrome,Methylene chloride,M,45,45,100,Collin Sansom
Rodger Luongo,3714610108884,US,CFTRP1,Spindle Cell Hemangioma,Lead,F,45,45,45,Taina Saxton
Bradford Hugley,3043206453120,FI,CTCF,Breast Cancer,13-Butadiene,M,45,45,100,Boyce Filler
Cecilia Muraoka,3031871322085,CL,HLF,Hordeolum;Laryngeal Disease;Myocardial Infarction Show all 4,Arsenic,M,45,45,100,Angelyn Romito
Tanna Hargreaves,1384458784616,PW,GPC1,Shigellosis,,F,45,45,100,Mozella Wan
Jacki Moss,6372251374013,ST,INPP5J,Angelman Syndrome,13-Butadiene,F,45,45,100,Candi Rux
Elfreda Ryan,8553266526308,US,GALNT3,Urinary Tract Obstruction;Ureteral Disease;Collecting Duct Carcinoma,Chromium,F,45,45,100,Mitchel Lemley
Dionne Cook,6854273813585,CO,ENSG00000137397,Keratoderma;Palmoplantar;Punctate Type Ia;Keratoderma Palmoplantar Keratosis,Methylene chloride,M,45,45,45,Cinthia Lichtman
Kim Dang,2482687322636,US,CDH7,Persistent Hyperplastic Primary Vitreous;Autosomal Recessive;Open-Angle Glaucoma Corneal Opacification And Other Ocular Anomalies,Arsenic,F,45,45,100,Isiah Campa
Kenyetta Jungers,6452340265540,KP,ENSG00000229071,Microcornea;Rod-Cone Dystrophy;Cataract;And Posterior Staphyloma;Retinitis Pigmentosa-50;Vitreoretinochoroidopathy,,M,45,45,100,Tristan Pannone
Naida Gosney,8438725308503,SC,CCL27,Breast Cancer,13-Butadiene,F,45,45,100,Lupita Peachey
Gena Wooding,2115853288817,GM,BFIS1,Glycine N-Methyltransferase Deficiency;Malaria;Mucolipidosis Ii,,F,45,45,100,Noelle Goley
Adolph Kerwin,8765660433071,PR,HSP90AA1,Williams Syndrome,,F,45,45,100,Corinne Garzon
Maribel Parras,4246138143287,MZ,HLA-DQB3,Esophageal Cancer Esophageal Squamous Cell Carcinoma,,M,45,45,45,Lexie Gillins
Ismael Mcfaul,6447825065563,TW,CEP41,Bardet-Biedl Syndrome 7;Bbs7-Related Bardet-Biedl Syndrome;Mckusick-Kaufman Syndrome,,F,45,45,100,Lavonne Rosebrook
Audra Spore,5246248263267,FI,AQP4,Teratocarcinoma,13-Butadiene,M,45,45,100,Selene Mcgavock
Takako Mims,0131175135101,FI,EML1,Exstrophy Of The Bladder,Beryllium,F,45,45,100,Noemi Gayles
Reinaldo Ye,0181566151841,US,GRM5,Microcephaly;Primary Autosomal Recessive Microcephaly Type 5;Primary Autosomal Recessive Microcephalies And Seckel Syndrome Spectrum Disorders,Hydrogen sulfide,M,45,45,100,Roberto Mangum
Verdell Bulman,8383437864663,IT,ASGR2,Alopecia Mental Retardation Syndrome 2,,F,45,45,100,Johanna Cournoyer
Caryn Brady,3273217821603,FI,DCTN1,Oligoastrocytoma,Chromium,F,45,45,100,Irena Fabrizio
Ann Bober,5325012403452,BY,EXOSC7,Acute Lymphoblastic Leukemia Lymphoblastic Leukemia,,M,45,45,45,Cecilia Muraoka
Shonna Mixer,5231141487043,RU,IBD3,Skin Lipoma,13-Butadiene,F,45,45,100,Devora Lewey
Dannielle Heffley,4072225807358,FI,HWE2,Burkitts Lymphoma,Beryllium,M,45,45,100,Larraine Bouska
Luna Oloughlin,7270448722210,FI,FARS2,Tibial Aplasia - Ectrodactyly,,F,45,45,100,Damion Spang
Morton Salazar,3273407538452,ZW,ARHGDIA,Wilson Disease Menkes Disease,,M,45,45,100,Carrie Klenk
Roxana Monier,7456651557654,MK,DCXR,Spinocerebellar Ataxia Type 28;Spastic;5;Autosomal Recessive;Spinocerebellar Ataxia Type28,Diesel exhaust,M,45,45,100,Lupita Peachey
Ricarda Parrino,7480655737432,FI,HABP2,Breast Cancer,13-Butadiene,F,45,45,100,Jarred Dory
Olin Daugherty,3783276146285,FI,LEPROT,Congenital Disorder Of Glycosylation;Type Ip Congenital Disorder Of Glycosylation,Chromium,F,45,45,100,Clarine Crites
Una Castiglione,6207314321226,SB,GLYAT,Type 2 Diabetes Mellitus,,M,45,45,45,Antonetta Osier
Reynalda Spinner,8066384052425,CU,DARC,Human Granulocytic Anaplasmosis,Hydrogen sulfide,F,45,45,100,Boyce Filler
Boyce Filler,8407152384027,CO,FAM174A,Autism Susceptibility 6,,F,45,45,100,Jon Hardaway
Dominga Schuldt,2846534461466,US,GLIPR1,Autism Susceptibility 6,Formaldehyde,F,45,45,45,Maryln Galyean
Carmine Shanahan,5641130883341,EG,DLEU2L,Radioulnar Synostosis,Hydrogen sulfide,F,45,45,100,Tristan Pannone
Caroline Regan,5381403811704,US,DENR,Malaria;Quebec Platelet Disorder;Colonic Disease Show all 4,,M,45,45,100,Josephine Bunner
Abigail Hazan,4277663875716,US,CLA3,Goblet Cell Carcinoid;Cerebellar Liponeurocytoma Merkel Cell Carcinoma,Hydrogen sulfide,M,45,45,100,Sage Amavisca
Shonna Mixer,0780677788104,MH,DDX6P2,Cerebellar Ataxia;Cayman Type,,F,45,45,45,Luna Oloughlin
Ricarda Parrino,8877835118370,US,ATAD2,Breast And Colorectal Cancer Colorectal Cancer,Diesel exhaust,M,45,45,100,Dannielle Heffley
Shirleen Schrom,5288055452020,AR,IDE,Vertigo;Benign Recurrent;2,,M,45,45,100,Maryln Galyean
Luana Villano,7350521730661,FI,BUB3,Ornithosis,,M,45,45,100,Asa Rhymes
Rosio Sivils,4264422437112,MD,COL5A3,Oligoastrocytoma,,F,45,45,100,Blake Gladding
Delmer Rippe,2061821274681,ER,IFNG,Chronic Lymphocytic Leukemia,,F,45,45,100,Olin Drye
Cinthia Lichtman,6701158640304,SL,C1orf64,Myelodysplastic Syndrome;Somatic;C-Like Syndrome;Myelodysplastic Syndromes,,M,45,45,100,Marguerite Taliaferro
Simone Schumacher,8880838057467,US,INHBC,Tibial Aplasia - Ectrodactyly,,F,45,45,100,Ann Bober
Lynell Degen,2144472767707,GL,CLCA4,Nasopharynx Carcinoma,,F,45,45,45,Annmarie Sublett
Reynalda Spinner,7055868124836,US,ARHGEF9,Dihydroxyadeninuria;Adenine Phosphoribosyltransferase Deficiency;Lesch-Nyhan Syndrome,,M,45,45,100,Dominga Schuldt
Faustino Coury,2532771104784,ML,ESPN,Alopecia Areata 2 Alopecia,,M,45,45,100,Shavon Muma
Iva Hovis,3863722771264,LC,CILD4,Chrondrodysplasia;Acromesomelic;With Genital Anomalies;Pulmonary Hypertension;Brachydactyly Type A2,Metals toxic,M,45,45,100,Marcelina Crume
Janey Hayslip,7031712452578,MU,KRT6B,Prostate Cancer Breast Adenocarcinoma,Methylene chloride,M,45,45,100,Florencio Poudrier
Jesenia Elsasser,1085152414656,UG,ECTD7,Breast Cancer; Type 3;Breast Cancer Susceptibility,,M,45,45,45,Monroe Dewall
Marlys Brevard,7530601535788,MM,AHSG,Cholera,Arsenic,M,45,45,45,Jacquelynn Rosendahl
Debroah Ellzey,7766274875584,US,FN3K,Acute Chest Syndrome,Toluene,F,45,45,100,Arminda Manley
Jenni Ruple,0752158447245,FI,CLMP,MHC,Metals toxic,M,45,45,100,Livia Kroon
Mellie Suydam,5364177750478,US,DSCAM,Brain Cancer,,M,45,45,100,Rolf Kind
Rafael Alderson,5472451604258,FI,GET4,Benign Mammary Dysplasia;Colorectal Cancer;Telangiectasis,Methylene chloride,F,45,45,100,Otelia Vreeland
Hallie Englund,1505738167864,FI,IRGM,Congenital Disorder Of Glycosylation Type Ii;Congenital Disorder Of Glycosylation Type 1I Myasthenia;With Tubular Aggregates 1,Formaldehyde,F,45,45,45,Franchesca Ramer
Rosa Gish,0058634680071,US,CHD6,Limb Ischemia Critical Limb Ischemia,Beryllium,F,45,45,100,Ron Shouse
Edwin Boettger,2857736188274,BI,IL10RB,Amebiasis,Toluene,F,45,45,100,Deadra Yao
Alina Finneran,3716064217147,FI,ABCD4,Periventricular Nodular Heterotopia 6 Periventricular Nodular Heterotopia,,F,45,45,100,Aliza Pauli
Tiny Habib,2085838223080,FI,CDR1,Smallpox,Beryllium,M,45,45,100,Joan Everitt
Bessie Manzanares,4756170417221,BO,BCOR,Spermatogenic Failure 5,,M,45,45,100,Reed Ehlert
Yung Fitts,8741726271120,FI,CARD16,Hyalinosis;Inherited Systemic;Inhalation Anthrax;Juvenile Hyaline Fibromatosis Show all 4,,F,45,45,45,Roberta Quezada
Cordie Zirkind,5587238853665,PE,KCNJ5,Autism Susceptibility 11,Lead,F,45,45,100,Margene Jung
Estell Heidrick,0723847070623,FI,CEL,Thyrotoxic Periodic Paralysis,Arsenic,M,45,45,100,Amparo Hamp
Ninfa Jeon,0837610754325,KZ,COPD10,Temtamy Syndrome,Chromium,F,45,45,100,Lakiesha Tillmon
Rolf Kind,6884031536087,TT,HRES1,Alzheimers Disease;Alpha-2-Macroglobulin Deficiency;Senile Systemic Amyloidosis Show all 4,,F,45,45,45,Lelia Slade
Delorse Holquin,3667611286573,US,AMLCR2,Lcad Deficiency;Fatty Acid Oxidation Disorders Hypoglycemia,,M,45,45,100,Inga Harte
Mellie Suydam,7302881780603,AM,FOXD2,Neuroblastoma,,F,45,45,100,Lyman Slavin
Bryant Kujawa,1180015475418,FI,ETFA,Syringomyelia,Toluene,M,45,45,100,Claris Blackwelder
Roxana Monier,6046203313610,SY,GOT1L1,Orofaciodigital Syndrome 13,Methylene chloride,M,45,45,100,Lezlie Anderton
Reed Ehlert,1517048158050,RU,DBN1,Bleeding Disorder;East Texas Type,,M,45,45,100,Novella Roby
Shelba Neely,8137570371656,CK,IFT172,Attention Deficit Hyperactivity Disorder,Asphalt fumes,F,45,45,100,Cheryl Lyvers
Vito Nitz,6806473358087,US,ADD1,Nemaline Myopathy 9,,F,45,45,100,Ute Julio
Rodger Luongo,7663861050555,FI,BTD,Hermansky-Pudlak Syndrome 9;Platelet Storage Pool Deficiency;Hereditary Spherocytosis Show all 4,Metals toxic,F,45,45,100,Chere Serfass
Lien Linder,1522824704614,BJ,CARS,Long Qt Syndrome 4;Cardiac Arrhythmia;Ankyrin-B-Related;Long Qt Syndrome 1,Beryllium,M,45,45,100,Candace Prescott
Gaylene Mcneese,5561282575387,PY,CERK,Hypercarotenemia And Vitamin A Deficiency;Autosomal Dominant Carotid Artery Occlusion,,F,45,45,100,Noelle Goley
Jacquelynn Rosendahl,4626631420062,FI,GORAB,Visceral Myopathy;Megacystis Microcolon Intestinal Hypoperistalsis Syndrome;Myopathic Intestinal Pseudoobstruction Show all 4,Metals toxic,M,45,45,100,Guillermo Seymore
Chelsea Pietsch,0535843624358,CO,LBP,Non-Hodgkin Lymphoma Protein S Deficiency,Diesel exhaust,M,45,45,100,Tammera Schwarz
Niki Michelle,2612581324467,US,HELLS,Asphyxiating Thoracic Dystrophy,Diesel exhaust,F,45,45,100,Lavonne Rosebrook
Joan Everitt,2857741877308,BW,ASPG3,Combined Oxidative Phosphorylation Deficiency 8;Leukoencephalopathy;Progressive;With Ovarian Failure Mitochondrial Cardiomyopathy,,M,45,45,100,Reynalda Spinner
Tyron Leija,1487810631047,US,ANG,Spinocerebellar Ataxia Type 6;Myocardial Infarction;Alexander Disease,Hydrogen sulfide,F,45,45,100,Kallie Hedge
Alejandra Walkes,2642567673320,LY,BAG1,Dystrophinopathies Arrhythmogenic Right Ventricular Cardiomyopathy,Toluene,F,45,45,100,Gia Hodak
Clora Faulk,7745536873546,FI,ENSG00000237825,Leucine-Sensitive Hypoglycemia Of Infancy;Neonatal Diabetes Mellitus;Familial Hyperinsulinism,Toluene,F,45,45,100,Mellie Suydam
Demetrice Linzey,7137123572415,AI,CNGA1,Peliosis Hepatis;Saccharopinuria;Breast Lymphoma,Lead,F,45,45,100,Marlys Brevard
Zane Mellin,0010425151566,FI,GFM2,Methylmalonic Aciduria And Homocystinuria;Cblj Type;Cbij;Disorders Of Intracellular Cobalamin Metabolism,Diesel exhaust,M,45,45,45,Corazon Warren
Lyman Slavin,1655083711486,SI,COPB1,Prostate Carcinoma In Situ Liver Cancer,,F,45,45,100,Page Blanke
Rosio Sivils,3158353228153,CO,IDS,Natural Killer Cell Leukemia;Metanephric Adenoma;Ossifying Fibromyxoid Tumor,Toluene,M,45,45,100,Gena Wooding
Thora Muncie,3255586057811,IQ,EA3,Colonic Pseudo-Obstruction;Gastroschisis;Wernicke-Korsakoff Syndrome,,M,45,45,100,Luisa Spainhour
Rochell Sandor,5880616881308,SJ,ABCD3,Cholestasis;Progressive Familial Intrahepatic 2;Benign Recurrent Intrahepatic Cholestasis 2;Abcb11-Related Intrahepatic Cholestasis,Asphalt fumes,M,45,45,100,Reynalda Spinner
Olin Drye,3574137828365,LI,HVBS7,Mitochondrial Complex Deficiency;Nuclear Type 4;Combined Oxidative Phosphorylation Deficiency 22;Mitochondrial Complex V Deficiency;Nuclear Type 3 Show all 4,Chromium,F,45,45,100,Arminda Manley
Lezlie Bierce,4456557273001,BE,BHLHA9,Spinocerebellar Ataxia Type 28;Spastic;5;Autosomal Recessive;Spinocerebellar Ataxia Type28,Chromium,M,45,45,100,Nicki Nevers
Doreen Mcbean,5156835367821,LY,IGBP1,Leucine-Sensitive Hypoglycemia Of Infancy;Neonatal Diabetes Mellitus;Familial Hyperinsulinism,,F,45,45,100,Leonila Verrier
Ismael Mcfaul,0555178627260,US,KCNJ18,Aminoacylase 1 Deficiency;Syringomyelia;Systolic Heart Failure,Diesel exhaust,F,45,45,45,Lavada Lindstrom
Modesto Lonergan,7301706300278,EC,HHPP,Breast Cancer ,,F,45,45,100,Georgann Picard
Arminda Travers,6858650381682,FI,LCN2,Mutism,Diesel exhaust,F,45,45,100,Selene Mcgavock
Lyn Vansant,0458246047105,US,CDC73,Acute Lymphoblastic Leukemia;Lymphoblastic Leukemia Skeletal Muscle Regeneration,,M,45,45,45,Olympia Swartwood
Dinorah Mickey,5642015655165,TZ,ACRC,Myelodysplastic Syndromes;Werdnig-Hoffmann Disease Liver Cancer,Toluene,M,45,45,100,Elmo Quaranta
Alina Finneran,8400426245825,AQ,HESX1,Aneurysm;Intracranial Berry;8 Aneurysm,,F,45,45,45,Theodore Kincer
Lakiesha Via,4444768237085,TN,DR1,Acetyl Coa Acetyltransferase 2 Deficiency;Thiolase Deficiency;Beta-Ketothiolase Deficiency Show all 4,Arsenic,M,45,45,45,Suzanna Amar
Rafael Alderson,0517364815058,UY,CLEC4A,Blepharitis,Chromium,M,45,45,45,Rosio Sivils
Estela Stricker,8477227545214,PK,CTSD,Gingival Fibromatosis With Hypertrichosis,,M,45,45,100,Zoe Upshur
Beatriz Ranger,2788206340238,FI,IFT140,Bardet-Biedl Syndrome 4;Bbs4-Related Bardet-Biedl Syndrome,Metals toxic,F,45,45,100,Luetta Ta
Jamison Murden,4124744255443,SK,CUL1,Renal Dysplasia;Cystic Renal Dysplasia,,F,45,45,100,Stefania Sigler
Suzanna Amar,4134846167201,MQ,BAK1,Aica-Ribosiduria Due To Atic Deficiency,,F,45,45,100,Devora Lewey
Teresa Tinkham,8304274278610,SV,ERVE-4,Borjeson-Forssman-Lehmann Syndrome,,F,45,45,45,Tiana WillertRashad Bull
Merrilee Girton,3672583700624,FI,HYPLIP2,Congenital Disorder Of Glycosylation Type Ii;Congenital Disorder Of Glycosylation Type 1I Myasthenia;With Tubular Aggregates 1,,F,45,45,100,Jamie Glick
Ismael Mcfaul,3250466563135,US,CMTM5,Hiv-1,,M,45,45,45,Nicky Crisler
Lelia Slade,8338020753442,FI,CLN3,Complement Component 5 Deficiency;Rapidly Progressive Glomerulonephritis;Pneumococcal Meningitis,,M,45,45,100,Cary Wenrich
Blake Gladding,4408254623058,MO,HPN,Glycogen Storage Disease I;Bone Marrow Necrosis;Colorectal Cancer,,M,45,45,100,Olin Drye
Roosevelt Bilski,3474547302613,FR,A1CF,Prostate Cancer,Toluene,F,45,45,100,Lezlie Anderton
Imelda Mciver,2736261166748,US,DLAT,Asthma,Methylene chloride,M,45,45,100,Mauro Aliff
Marybeth Patti,6286074378524,SR,CDHR1,Farber Lipogranulomatosis Lipogranulomatosis,Methylene chloride,F,45,45,45,Gilberte Neville
Krissy Dow,2744302243642,US,APEX1,Myositis Ossificans;Bmp1-Related Osteogenesis Imperfecta;Osteogenesis Imperfecta Type Xiii,Lead,F,45,45,100,Clarine Crites
Dionne Cook,1610501803147,FI,CLDN11,Blepharitis,,F,45,45,100,Francina Fresquez
Dominga Schuldt,2234163384325,FI,HPGD,Orofaciodigital Syndrome 13,,M,45,45,100,Miki Poindexter
Debi Retherford,2017435887285,LV,ATP10A,Human Granulocytic Anaplasmosis,,M,45,45,100,Keitha Hagaman
Reggie Tibbetts,3205458614140,BB,FAM58A,Hypercarotenemia And Vitamin A Deficiency;Autosomal Dominant Carotid Artery Occlusion,Diesel exhaust,F,45,45,100,Venice Lakey
Leena Stoneking,5634310118345,SN,ANIB9,Periventricular Nodular Heterotopia 6 Periventricular Nodular Heterotopia,,F,45,45,100,Jodee Miyamoto
Bess Musil,7304663822248,FI,HCHOLA4,Rhabdomyosarcoma Shipyard Eye,Formaldehyde,M,45,45,100,Shelba Neely
Elanor Brunet,6366103475068,SA,CFI,Pregnancy Loss; Recurrent 3;Barth Syndrome,Formaldehyde,F,45,45,100,Imelda Mciver
Yuko Tapia,0730348462585,MP,FADD,Klippel-Trenaunay Syndrome;Coats Disease Proteus Syndrome,Methylene chloride,F,45,45,100,Marguerite Taliaferro
Shameka Goudy,6062655710711,FI,GFRA2,Aortic Coarctation;Chagas Disease;Neuroepithelioma,,M,45,45,100,Shirleen Schrom
Terrance Ormond,5380701635708,TJ,ARMC5,Fetal Alcohol Syndrome,Methylene chloride,F,45,45,100,Mirna Cervantez
Kristopher Tingley,8120464645845,FI,GADD45B,Acute Chest Syndrome,,M,45,45,100,Shenika Caldwell
Ron Shouse,5378344147250,FI,ETL2,Ceroid Lipofuscinosis;Neuronal;12;Parkinson Disease Type 9;Parkinsons Disease Show all 4,,M,45,45,100,Reynalda Spinner
Constance Massengale,0548880261513,BM,HBG2,Type 2A Von Willebrand Disease,Beryllium,M,45,45,45,Melina Botts
Shirleen Schrom,1641281137526,TF,DCAF5,Infantile Convulsions And Paroxysmal Choreoathetosis;Familial;Benign Familial Infantile Seizures 2 Episodic Kinesigenic Dyskinesia 1,,F,45,45,100,Roxane Digby
Darci Pleas,8237717481833,PM,EHD2,Breast Cancer;Nonpapillary Renal Cell Carcinoma;Choriocarcinoma,Toluene,F,45,45,100,Lexie Gillins
Fabiola Hust,1277787848055,BV,FUZ,Male Infertility Infertility,Metals toxic,F,45,45,45,Hallie Englund
Dominica Eldred,0321002610428,MA,INPP5E,Cannabis Dependence,Diesel exhaust,M,45,45,100,Thora Muncie
Olin Drye,5878317103362,FM,ARHGAP1,Obesity,Asphalt fumes,M,45,45,100,Kendall Schutt
Olin Daugherty,7773721230724,US,CXCL2,Orofaciodigital Syndrome 13,Hydrogen sulfide,F,45,45,100,Jess Lundin
Clarine Crites,3173765332746,AZ,CCNB1,Prostate Cancer Testicular Cancer,,F,45,45,100,Lorean Hazelton
Misha Schindler,3256331708801,RS,IDI1,Deafness;Autosomal Recessive 12;Modifier Of,,M,45,45,100,Luetta Ta
Melina Botts,0401250003333,CY,CYP4V2,Cat Eye Syndrome Talipes Equinovarus,,M,45,45,100,Takako Mims
Talitha Machado,8428753440451,GG,HADHB,Colorectal Cancer;Myeloma;Pancreatic Cancer,Hydrogen sulfide,F,45,45,100,Willy Horne
Shira Zeledon,0757323045580,BH,IBD21,Thyrotoxic Periodic Paralysis,Hydrogen sulfide,M,45,45,100,Phillis SolizCrissy Mcclinton
Rolf Kind,0248206844284,AX,HTR1D,Low Gamma-Gt Familial Intrahepatic Cholestasis;Benign Recurrent Intrahepatic Cholestasis,Metals toxic,F,45,45,100,Stanton Carlyle
Arminda Travers,2277406404107,BJ,CASP2,Chronic Inflammatory Demyelinating Polyneuropathy;Myocardial Infarction Susceptibility Show all 4,Toluene,F,45,45,100,Delmer Rippe
Val Cusic,2650555458048,TN,EIF6,Pregnancy Loss;Recurrent 3;Barth Syndrome,,F,45,45,100,Roberta Quezada
Vito Nitz,4478182566204,MX,GRIN2B,Bruck Syndrome 1,Formaldehyde,M,45,45,100,Lidia Pilon
Amparo Hamp,2773734113018,US,HIVEP3,Follicular Lymphoma,,M,45,45,100,Vito Nitz
Mindy Ringdahl,4165315552155,MA,EYA4,Mucopolysaccharidosis Vi Myeloid Leukemia,Methylene chloride,M,45,45,45,Deangelo Vestal
Gaylene Mcneese,1666087647080,JP,ENO3,Combined Oxidative Phosphorylation Deficiency 8;Leukoencephalopathy;Progressive;With Ovarian Failure Mitochondrial Cardiomyopathy,Lead,M,45,45,100,Vicenta Brummett
Victoria Dame,6283225710803,US,AC004862.6,Reticular Dysgenesis,,M,45,45,100,Daina Mcgreevy
Tanna Hargreaves,5418701141074,RU,DUP3Q29,Varicocele;Oligospermia;Mixed Gonadal Dysgenesis,,F,45,45,45,Maisie Matinez
Elanor Brunet,7443880421205,RU,FLOT2,Agrn-Related Congenital Myasthenic Syndrome;With Pre- And Postsynaptic Defects;Myasthenia;Limb-Girdle;Familial,Arsenic,F,45,45,100,Kenyatta Marksberry
Maximina Cefalu,2605164204368,TL,ERVK-10,Morquio Syndrome B;Mucopolysaccharidoses;Ehlers-Danlos Syndrome Progeroid Type,,F,45,45,100,Erick Bax
Page Blanke,5727618777707,DK,COL9A2,Rheumatoid Arthritis;Hiv-1;West Nile Encephalitis Show all 4,Formaldehyde,F,45,45,100,Ann Bober
Inell Dillman,0537118446168,CU,LCN9,Epidemic Pleurodynia;Autoimmune Autonomic Ganglionopathy;Chronic Pain,,F,45,45,100,Trinh Lacasse
Imelda Mciver,3001526405177,US,HEY,Myelodysplastic Syndromes;Werdnig-Hoffmann Disease Liver Cancer,,F,45,45,100,Margarett Eastland
Yuri Soares,6051138880577,US,KCTD1,Lung Cancer,13-Butadiene,F,45,45,100,Misha Sanmiguel
Suzanna Amar,5428142672550,TO,HOXA11,Hordeolum,,F,45,45,100,Bernadine Leis
Ann Bober,2276638227150,PW,CALCRL,Attention Deficit Hyperactivity Disorder,Lead,M,45,45,100,Alina Finneran
Margene Jung,2387766368781,RU,CALR3,Placental Abruption;Hyperhomocysteinemia;Spina Bifida,Formaldehyde,M,45,45,100,Yuri Soares
Cora Pond,4774417587041,FO,CYB5R4,Familial Colorectal Cancer;Chronic Lymphocytic Leukemia;Dysplastic Nevus Syndrome,,F,45,45,45,Kenyatta Marksberry
Pamila Campfield,3767560585741,MF,ITGB3BP,Malaria,,M,45,45,100,Tynisha Whittlesey
Brittni Carlsen,1615283618828,BE,AEBP1,Seizures;Benign Familial Infantile;4,Methylene chloride,M,45,45,100,Cassi Wieder
Cletus Fann,1128102246542,VA,HMGB1,Imperforate Anus,Beryllium,M,45,45,100,Shameka Goudy
Lori Mose,7524248242286,EG,AKAP17A,Hepatitis C;Hepatitis C Virus Hepatitis,,M,45,45,100,Roberto Mangum
Josefine Villeneuve,2688442861855,VU,ALDH18A1,Blood Group Incompatibility Malaria,,F,45,45,100,Ann Bober
Dannie Pantano,8110267410418,ZM,FCGR1A,Hypotrichosis 1;Hypotrichosis Simplex,,M,45,45,45,Mariella Stermer
Gabriel Devall,5600411320637,KM,BMIQ16,Acute Lymphoblastic Leukemia Lymphoblastic Leukemia,Arsenic,F,45,45,100,Margherita Ramsden
Al Hardaway,3831715554002,US,KCTD7,C1S Deficiency;Acquired Angioedema;Capillary Leak Syndrome,,F,45,45,100,Deb Klar
Rona Redner,7743426836115,AR,HCN1,Amelogenesis Imperfecta Type;Iia4;Type Ib;Amelogenesis Imperfecta Show all 4,,M,45,45,45,Barry Almquist
Ute Julio,7835430644012,FI,CCNT2,Hyperbiliverdinemia;Spontaneous Pneumothorax;Pneumothorax Show all 4,,F,45,45,45,Pearle Basch
Leena Stoneking,0223052230113,FI,DYDC2,Dermatitis;Atopic 1,Beryllium,M,45,45,100,Luna Oloughlin
Zelda Hadaway,6862624503506,AE,KLHL3,Familial Melanoma;Obesity;Autoimmune Hepatitis Show all 4,Chromium,M,45,45,100,Leonila Verrier
Freda Roberts,8006638634374,US,GJA4,Alopecia;Androgenetic;1,Toluene,F,45,45,100,Tammera Schwarz
Lorean Hazelton,7718512305081,FI,FCMTE3,Priapism,,M,45,45,100,Joan Everitt
Francina Fresquez,1445418467666,US,FCRL5,Central Nervous System Leukemia,,M,45,45,45,Sharen Baran
Enid Lague,1103254446316,FI,CA9,Congenital Stationary Night Blindness;Type 2B;Autosomal Recessive;Retinal Disease,,F,45,45,100,Iesha Mcmahon
Mellie Suydam,6561004127554,RU,HGD,Blood Group Incompatibility Malaria,Diesel exhaust,M,45,45,45,Ronna Tickle
Lucie Farnsworth,8416126157651,FI,ADORA2B,Amelogenesis Imperfecta Type;Iia4;Type Ib;Amelogenesis Imperfecta Show all 4,Toluene,M,45,45,100,Leland Catalan
Miki Poindexter,2814075557880,US,CBR3,Breast Adenoma,,M,45,45,100,Rafael Alderson
Carrie Klenk,5413081556666,RU,ERCC6,Fetal Alcohol Syndrome,,M,45,45,100,Ulrike Donaghy
Vicenta Brummett,7482342315106,FI,ATP2B2,MHC,,F,45,45,45,Liza Sweatman
Debroah Ellzey,6243840764151,FI,ATP8B1,Spindle Cell Hemangioma,Lead,F,45,45,100,Lelia Slade
Francisco Papadopoulos,3475253356840,JP,BCL10,Pulmonary Neuroendocrine Tumor;Differentiating Neuroblastoma;Congenital Central Hypoventilation Syndrome,Hydrogen sulfide,M,45,45,100,Carleen Hough
Tilda Gulledge,6070255008330,RE,CMA1,Non-Hodgkin Lymphoma,Asphalt fumes,F,45,45,45,Luisa Spainhour
Noemi Gayles,2328831474834,KR,DPP10,Aldh18A1-Related Cutis Laxa;Autosomal Recessive;Type Iiia;Type Iiib Show all 4,,F,45,45,100,Edgardo Karst
Margene Jung,3745243708807,US,CD93,Scurvy;Pigmented Villonodular Synovitis Villonodular Synovitis,13-Butadiene,F,45,45,100,Lashunda Porta
Wilson Peaslee,6302742344763,ID,BIRC2,Age-Related Hearing Impairment 1,,F,45,45,100,Shonna Mixer
Zora Estes,7636021805884,TJ,GABARAP,3 Methylglutaconic Aciduria Type I Leigh-Like Syndrome,,M,45,45,100,Candi Rux
