Name, Identification Number,Country Code,Mutation,Locus,Disorder,Professional Exposure,Professional Exposure Time, Gender,Age,Age At Diagnosis,Age Of Death,Physician
Daina Mcgreevy,1277682611387,SN,ADFN,Long Qt Syndrome 11 Long Qt Syndrome 1,16q23.1,Diesel exhaust,45,F,45,45,100,Inell Dillman
Wynona Doby,4250823574702,TG,EIF3I,Acute Myeloid Leukemia,19q13.42,Chromium,45,M,45,45,100,Renea Moreira
Trinh Lacasse,5476603024411,CD,HNF1B,Obesity,10q23.31,Metals toxic,45,F,45,45,100,Caroline Regan
Maximina Cefalu,8807034773072,AE,FREM1,Hepatocellular Carcinoma,12q13.12,Solvents,45,M,45,45,100,Frederic Hottle
Lezlie Bierce,1157384167558,SH,CTAGE1,Priapism,3p21.31,Arsenic,45,M,45,45,100,Diann Schuch
Freda Roberts,4064262562232,IM,AASS,Down Syndrome,11q12.1,Lead,45,F,45,45,100,Martine Modeste
Adelaide Grizzell,4146734001482,MD,ATP6V1B2,Antiphospholipid Syndrome,17q21.2,,45,M,45,45,100,Emelina Kappler
Detra Melanson,0331852552442,KE,DFNM1,Cat-Scratch Disease Junctional Epidermolysis Bullosa,19q13.32,,45,F,45,45,100,Lavonne Rosebrook
Virgina Line,2368066645734,NP,CLUL1,Human T-Cell Leukemia Virus Type 1,19p13.3,,45,F,45,45,100,Lewis Agrawal
Jim Fabre,5757171664517,VC,INTLQ3,Atrioventricular Septal Defect,17q21.31,Arsenic,45,F,45,45,100,Rolf Kind
Nakia Amaro,8203020248603,SJ,FAM107A,Mucolipidosis Ii,15q21.3,Metals toxic,45,M,45,45,100,Lakiesha Tillmon
Lonna Shehane,2340156242060,UY,ARL6,Bardet-Biedl Syndrome 9,5q35.1,Beryllium,45,M,45,45,100,Franchesca Ramer
Portia Frausto,2863108737076,UA,ACKR4,Intracranial Berry,11q21,,45,F,45,45,100,Lezlie Bierce
Margene Jung,8628626816718,VI,ARID5A,Male Infertility Due To Acrosin Deficiency Globozoospermia,1q41,,45,M,45,45,100,Kanesha Cramer
Prudence Mccorvey,1832724167434,TH,GFND1,Scurvy,Xq28,,45,M,45,45,100,Adell Segarra
Shenika Caldwell,8337162335082,IS,HSCR6,Congenital Syphilis,16p13.3,Solvents,45,M,45,45,100,Thresa Strey
Lori Mose,0645207504170,GI,H19,Autoimmune Thyroid Disease 2,14q32.12,Hydrogen sulfide,45,F,45,45,100,Renea Moreira
Selene Mcgavock,4105547246108,GA,ATP5LP5,Serum Level Of,11p15.5,,45,F,45,45,100,Sol Loper
Elisha ModlinKathleen Lavoie,8158445862012,KE,ABHD5,Complementation Group M,19p13.2,,45,M,45,45,100,Nicky Crisler
Elfreda Ryan,8281501452407,KG,ADRA2A,Alcohol Dependence Fetal Alcohol Syndrome,2p14-p13.3,,45,M,45,45,100,Cathleen Wilmoth
Roxane Digby,5253004447862,GS,EGFR,Citrullinemia Type I,11p15.5,,45,F,45,45,100,Devora Lewey
Rosalie Sellers,2455208442237,JE,EFEMP1,Spastic Paraplegia 3,20q11.22,13-Butadiene,45,F,45,45,100,Stephan Saleh
Carletta Houde,5458041833505,BW,EDSS2,Burkitts Lymphoma Supravalvular Aortic Stenosis,3q29,,45,M,45,45,45,Anjelica Danford
Deangelo Vestal,2583330103615,AE,FAM174A,Myelodysplastic Syndromes,5q14.1,Hydrogen sulfide,45,M,45,45,45,Alethea Spruill
Althea Larsen,1858072514702,FI,CEP76,Biotin Deficiency,3p25.1,Chromium,45,F,45,45,100,Young Meriwether
Ute Bufkin,0266883663230,SD,KWE,Asperger Syndrome Susceptibility 4,1q21.3,,45,M,45,45,100,Freda Roberts
Jodie Graves,2600650672058,AI,DNAJB6,Centronuclear Myopathy 2,HSCHR6_MHC_QBLp21.32,Methylene chloride,45,F,45,45,100,Jenni Ruple
Ilona Alegria,1152455384812,BG,ARF1,Asthma,22q11.23,Lead,45,M,45,45,100,Douglas Mcelyea
Keeley Gorney,4776147476755,MP,CLRN1-AS1,Choanal Atresia,17q23.2,Diesel exhaust,45,M,45,45,45,Aisha Champine
Merrilee Girton,8073811410542,CN,LAMP2,Ascaridiasis,9p24.1,,45,F,45,45,100,Jodee Miyamoto
Nyla Rolle,3255317720224,LT,HMGA1,Ceroid Lipofuscinosis,3q23,Beryllium,45,F,45,45,100,Pamala Delmont
Francisco Papadopoulos,0886825437104,SB,EDN2,Microphthalmia Syndromic 4,19p13,,45,M,45,45,45,Kathey Bolton
Cassi Wieder,5283046304377,VI,COL9A1,Alpha-Thalassemia/mental Retardation Syndrome,HSCHR6_MHC_MCFp22.1,Toluene,45,F,45,45,100,Larraine Bouska
Chang Leclair,7411646743132,BH,E4F1,Hepatitis C,9p24.2,Beryllium,45,F,45,45,100,Margeret Heims
Cesar Tesar,2026257418657,TM,KIR2DP1,Hepatocellular Carcinoma,7p22.3-p21.3,Solvents,45,M,45,45,45,Francie Harewood
Imelda Mciver,4608722334710,KZ,GRK4,Moyamoya Disease - Short Stature - Facial Dysmorphism - Hypergonadotropic Hypogonadism T-Cell Prolymphocytic Leukemia,4q27,,45,M,45,45,100,Earl Caddell
Theodore Kincer,7356863316276,IQ,CHRFAM7A,Lissencephaly,17q25.1,Hydrogen sulfide,45,F,45,45,100,Corinne Garzon
Monroe Dewall,8246813403208,CZ,ERCC2,Hereditary Hemorrhagic Telangiectasia,2p16.3-p15,Solvents,45,F,45,45,100,Earlie Mcray
Corinne Garzon,3710355740653,MY,AURKAIP1,Menieres Disease,1p36.11,Hydrogen sulfide,45,F,45,45,45,Dusti Molinari
Erick Bax,8416762120134,ML,ERAP1,Menieres Disease,HSCHR6_MHC_QBLp21.32,,45,F,45,45,100,Lauryn Deputy
Lezlie Anderton,4055025484527,LB,EIF4A3,Cardiovascular Disease Risk Factor,3p21.3,,45,F,45,45,100,Luna Oloughlin
Adell Matheson,6802065777816,ER,HNMT,Alzheimer Disease 12 Alzheimers Disease,,,45,F,45,45,100,Elfreda Ryan
Estela Stricker,0438241361015,JO,BMP7,Biotin Deficiency,15q21.1,Formaldehyde,45,M,45,45,100,Mirna Cervantez
Chang Leclair,0808571113655,KI,FANCG,Adult,19q13.32,Solvents,45,F,45,45,100,Aleshia Daw
Ninfa Jeon,4574210556855,KI,CDKN2A,Breast Cancer,16q23.3,,45,F,45,45,100,Asley RaffaeleRosamaria Leyden
Clarine Crites,7823277308055,IM,HNRNPU,Breast Cancer,8p23.1,,45,F,45,45,100,Jack Ruston
Willy Horne,6538586455105,DO,DDX58,Vitelliform Macular Dystrophy,3q22.1,Methylene chloride,45,F,45,45,100,Keitha Hagaman
Cary Wenrich,2360222071610,BQ,AGAP2,Bipolar I Disorder Mood Disorder,20p13,Lead,45,M,45,45,100,Cherri Simons
Lezlie Bierce,0325302667437,SM,DBT,Hyperargininemia,HSCHR6_MHC_DBBp21.33,,45,M,45,45,100,Shenika Caldwell
Honey Mcarthur,2384831221570,VI,DFCTRPS,Rapidly Progressive Glomerulonephritis,6p22.3,Lead,45,M,45,45,100,Stephan Saleh
Felicia Macken,3142521218604,LS,HLA-DQB3,Spindle Cell Hemangioma,21q22.13,,45,F,45,45,100,Olin Daugherty
Melida Donaldson,8652058223705,CK,DELYQ11,Crohns Disease,12q13.12,,45,F,45,45,100,Suzanna Amar
Genie Kolman,0254521307632,MY,HIRA,Nicotine Dependence,17p13.1-q12,,45,M,45,45,100,Shari Amezquita
Daina Mcgreevy,2131037441371,PA,ACAA2,Artery Disease Sepsis,12p11.23,,45,M,45,45,45,Delorse Holquin
Naida Gosney,0441422875152,AQ,IGHV4-34,Bard1-Related Susceptibility To Breast Cancer,5q35.1,,45,F,45,45,100,Adolph Kerwin
Cara Shelton,2680748424878,BZ,KAZA2,Corneal Dystrophy,11p15.1,Methylene chloride,45,F,45,45,100,Glenna Schrimsher
Donald Silvia,7144502178570,IO,IRF2BP2,Phlebotomus Fever,16p11.2,Asphalt fumes,45,M,45,45,45,Beatriz Ranger
Gilberte Neville,5307717146482,UG,GRM2,Benign Epilepsy With Centrotemporal Spikes,22q11.21,Formaldehyde,45,F,45,45,45,Clarine Crites
Luisa Bade,6462534276647,AU,CPSF2,Nager Acrofacial Dysostosis,6p22.3,,45,M,45,45,45,Corinne Garzon
Tyron Hakes,8581461110176,VN,KYPSC1,Fanconi Anemia,3p26.1,Formaldehyde,45,M,45,45,100,Marguerite Taliaferro
Genie Kolman,3637752246875,YT,ABCC12,Polyhydramnios Oligohydramnios,16q23.2,Solvents,45,F,45,45,100,Beatrice Brice
Deadra Yao,7708850217543,ML,DNAJC4,Hyperbiliverdinemia,1q22,Hydrogen sulfide,45,M,45,45,100,Yung Fitts
Ulrike Donaghy,2584716041684,BW,ENSG00000234794,Combined Oxidative Phosphorylation Deficiency 6,6p21.33,Methylene chloride,45,F,45,45,100,Adriana Nease
Foster Hickox,1780173634342,DJ,HIBADH,Coronary Artery Vasospasm,16p11.2,Solvents,45,F,45,45,100,Bronwyn Jarvie
Noemi Gayles,7851762151304,AZ,FBXO31,Uterine Fibroid,12q21.33,Diesel exhaust,45,F,45,45,100,Genna Worster
Jeremy Biel,0583402784051,DM,EHBP1,Ataxia Show all 4,Xp21.2,,45,F,45,45,45,Jere Sakata
Lyman Slavin,2504810037707,DE,DEL9P,Post-Traumatic Stress Disorder,18p11,Arsenic,45,F,45,45,45,Valerie Boykins
Bernadine Leis,0057635532770,GS,FBXL19,Muir-Torre Syndrome,19p13.3,Beryllium,45,M,45,45,100,Bernardine Stansfield
Laine Earnest,0478033068242,VG,AASS,Anisomastia,1q32.2,,45,F,45,45,100,Earl Caddell
Skye Verdin,4363000847538,CU,HEMGN,Amyotrophic Lateral Sclerosis Type 3,Xq21.33,,45,F,45,45,100,Felecia Violette
Noelia Quint,7181738386477,AO,CLCN4,Limbic Encephalitis,11q12.1,,45,M,45,45,100,Jodee Miyamoto
Jeraldine Ipock,7173623537805,LT,HJURP,Complementation Group M,3p22.1,Beryllium,45,F,45,45,45,Alejandra Walkes
Jeffie Feltmann,2073485140642,GH,BMP5,Episodic Ataxia With Nystagmus,Xq27.2,Asphalt fumes,45,M,45,45,100,Shavon Muma
Foster Hickox,3670852474374,EE,IRF2BP1,Nestor-Guillermo Progeria Syndrome,19q13.41,,45,F,45,45,100,Gerard Rodriquez
Salvatore Pulsifer,2886333884428,BN,AD16,Familial Abdominal 2,HSCHR6_MHC_DBBp21.32,Beryllium,45,F,45,45,45,Liza Aubin
Doreen Mcbean,7636305232637,TD,ID1,Schizophrenia,19q13.33,,45,F,45,45,100,Alfonso Widmer
Maximina Cefalu,5752838068360,BE,CYB5R1,Mucopolysaccharidoses,8q21.2,,45,M,45,45,100,Shari Amezquita
Hayley Pickrell,4304375666820,LI,CHD6,Myocardial Infarction Susceptibility Show all 4,19q13.11,,45,F,45,45,100,Devora Lewey
Giuseppina Krell,8470266746414,PF,CCL21,Hypospadias,3q13.33,,45,M,45,45,100,Cecilia Muraoka
Zora Estes,8420577224388,DZ,LAMP1,Listeriosis,6p22.3,Beryllium,45,M,45,45,100,Lynn Caminiti
Mirna Cervantez,0676002221204,HK,HYT7,Peroxisomal Disease,7p21.2-p14.3,,45,M,45,45,100,Kathaleen Soderquist
Thora Krikorian,8461481107523,AF,ELP4,Testicular Gonadoblastoma,1p12,,45,M,45,45,100,Herb Leland
Reynalda Spinner,4802432010237,MG,CXCL17,Non-Small Cell Lung Carcinoma,3q27.1,,45,F,45,45,100,Adell Matheson
Isiah Campa,8720760241283,BD,HPX,Chromosome 16Q22 Deletion Syndrome,3p25.1,,45,F,45,45,100,Ilona Alegria
Mellie Suydam,7800500588116,PN,CEND1,Retinitis Pigmentosa 66,6p12.1,,45,M,45,45,45,Cara Shelton
Kenyatta Marksberry,2170005523357,VC,DUP5P13,Autoimmune Polyglandular Syndrome Type 2,1p22.3,,45,F,45,45,100,Jacquelynn Rosendahl
Isabelle Gramling,3688513821210,LB,HK2,Gray Platelet Syndrome,2q35,Toluene,45,M,45,45,45,Suzanna Amar
Estell Heidrick,6138518187128,OM,DES,Asperger Syndrome Susceptibility 1,19q13.41,13-Butadiene,45,F,45,45,100,Deb Klar
Lavonne Rosebrook,8770462831372,MU,KIF21A,Hailey-Hailey Disease,3p22.2,,45,F,45,45,100,Theodore Kincer
Wyatt Lavery,3165557734347,TO,CCDC8,Parkinsons Disease,7p14.1,,45,M,45,45,100,Louetta Bonds
Bernardine Stansfield,1471572062732,HT,CAMK1G,Phlebotomus Fever,19q13.4,Metals toxic,45,F,45,45,100,Delisa Sorenson
Miss Parra,3236383853544,ET,DEL8Q13,Benign Paroxysmal Positional Nystagmus,22q12.3,Hydrogen sulfide,45,F,45,45,100,Dianna Bolen
Delmer Rippe,2437102657413,GF,CYP26B1,Basal Cell Carcinoma 3 Basal Cell Carcinoma,12q24.11,Formaldehyde,45,F,45,45,45,Devorah Fregoso
Irena Fabrizio,1742874652745,RO,ABCC1,Peroxisomal Disease,16q24.3,Hydrogen sulfide,45,M,45,45,100,Wanda Martines
Layne Swearngin,4708640572864,BZ,ARHGEF19,Long Qt Syndrome 2,16q24.3,Lead,45,F,45,45,100,Virgina Line
Rosio Sivils,6142476351404,TW,AD17,Neutral Lipid Storage Disease,3q26.32-q28,,45,M,45,45,100,Collin Sansom
Otelia Vreeland,8166307476508,MS,AHI1,Primary Biliary Cirrhosis,11q23,,45,F,45,45,100,Johanna Cournoyer
Barry Almquist,7685441340343,MF,CFTRP1,Breast Cancer,12q24.31,Methylene chloride,45,F,45,45,100,Gena Wooding
Stephan Saleh,1517141610244,MH,DNASE1L3,Breast Fibroadenoma,Xq27.1,,45,F,45,45,100,Imelda Mciver
Guillermo Seymore,7404270224765,AT,ATG14,Migraine,19p13.11,,45,F,45,45,100,Liza Sweatman
Cesar Tesar,4670724223535,AT,ADD1,Breast Cyst,8q24.3,,45,F,45,45,100,Felicia Macken
Abe Miranda,4847856717222,GR,GLDC,Ataxia Telangiectasia,7q31.1,Beryllium,45,F,45,45,45,Noemi Gayles
Rena HeggMelina Seiter,7713155488548,CV,FOXD4,Muscular Dystrophy-Dystroglycanopathy ,10q26.13,Metals toxic,45,F,45,45,100,Estell Hirt
Roberta Quezada,2208637533217,BY,GZMB,Spastic Paraplegia 61,3p24.3,Metals toxic,45,M,45,45,100,Nakia Amaro
Roxane Digby,1070158137546,FO,DFNB14,Triple-A Syndrome,8q21.11,Solvents,45,M,45,45,100,Cordie Zirkind
Elton Fisch,5684252680381,IM,LELP1,Diaphanospondylodysostosis Spondylocostal Dysostosis,16q22.1,Diesel exhaust,45,F,45,45,100,Cathleen Wilmoth
Ricarda Parrino,7883825620441,GM,ENDOU,Alzheimers Disease Myositis,10q21.2,Beryllium,45,M,45,45,100,Roscoe Castille
Wyatt Lavery,2203072258713,BW,IL6,Familial Cortical Idiopathic Generalized Epilepsy,21q22.3,Asphalt fumes,45,F,45,45,100,Frederic Hottle
Estell Hirt,6801484126511,GD,COTL1P1,2 Familial Atrial Fibrillation,16p13.3,Asphalt fumes,45,F,45,45,100,Venice Lakey
Mindy Ringdahl,5508377750552,UA,GLYS1,Qtl4 Systemic Lupus Erythematosus,18p11.22,Diesel exhaust,45,F,45,45,100,Kallie Hedge
Elfreda Ryan,8561360055767,BS,CCAL1,Spastic Paraplegia 26 Spastic Paraplegia 26,17p13.2,,45,M,45,45,100,Dale Mccorkle
Daina Mcgreevy,8312140585581,EH,KIAA0319,Oligospermia,1p36.11,Beryllium,45,M,45,45,100,Alanna Blanton
Victoria Dame,0416047764571,MP,AVPR1B,Hepatitis B Hepatitis,16q12.2,,45,M,45,45,100,Leigha Donnell
Vikki Chaney,0382344246105,GF,EIF4G1,Webb-Dattani Syndrome Hypoxia,13q14.13,Chromium,45,M,45,45,100,Vicenta Brummett
Thora Muncie,6740523307474,KH,FGF20,Breast Cancer,17q25.3,Methylene chloride,45,M,45,45,45,Terrence Poulson
Adolph Kerwin,2868845800083,TH,CAMP,Alopecia,14q32.33,Solvents,45,M,45,45,100,Lyman Slavin
Afton Calnan,8528154804046,KE,DVL3,Tympanosclerosis,7q11.23,,45,M,45,45,45,Earlie Friar
Vicenta Brummett,1423525661572,JM,EPX,Colorectal Cancer,7q22.1,,45,M,45,45,100,Tyron Leija
Fonda Millington,0637638505277,TJ,APOBEC3A,Bone Lymphoma,5q31.3,Hydrogen sulfide,45,M,45,45,45,Tyron Leija
Pamala Delmont,7840033525532,BM,ENSG00000225312,Autosomal Recessive,17q21.32,,45,M,45,45,100,Elanor Brunet
Willis Toone,3426242633423,CL,DEL6Q24Q25,Aortic Coarctation,Xq23,,45,F,45,45,100,Carrie Klenk
Donald Silvia,3242445232406,DK,AKR1C4,Myeloma,1p12,,45,F,45,45,100,Magda Edmund
Luanne Turk,6345461021036,AZ,CEP19,Alopecia Mental Retardation Syndrome 1,1q32.1,Hydrogen sulfide,45,M,45,45,100,Suzanna Amar
Simone Schumacher,4278263534547,SN,APP,Subacute Sclerosing Panencephalitis Type 1 Diabetes Mellitus,10q21.3,Methylene chloride,45,F,45,45,45,Carrie Klenk
Corinne Garzon,1507704240425,IN,CDKL5,Tracheitis Dermatophytosis,20p11.21,,45,M,45,45,45,Inell Dillman
Angelyn Romito,6072241850746,CM,KSS,L1 Syndrome,5q35.1,,45,F,45,45,100,Sheilah Kinzer
Roscoe Castille,8626515306764,MG,IGLV9-49,Basal Cell Carcinoma 6 Basal Cell Carcinoma,Xq13.3,Lead,45,F,45,45,45,Lauretta Depriest
Blake Gladding,7142442865416,TH,IQSEC2,Syringomyelia,Xq13.1,Diesel exhaust,45,F,45,45,100,Livia Kroon
Sheilah Kinzer,1173800817074,TT,GSTP1,Pancreatic Cancer,11q12.3,Asphalt fumes,45,M,45,45,100,Olin Daugherty
Arminda Travers,1018157361048,LB,DFNA54,Spindle Cell Hemangioma Cervical Cancer,5p15.33,,45,F,45,45,100,Magen Luczak
Bradford Hugley,7573287176046,KR,EGID-100124696,Asthma,14q32.33,,45,F,45,45,100,Douglas Mcelyea
Reed Ehlert,6186062448643,MC,CEBPE,Friedreich Ataxia,19p13.2,13-Butadiene,45,M,45,45,100,Estell Heidrick
Arminda Travers,3638738435654,QA,COA5,Vitamin B6 Plasma Level Qtl 1,1p32.3,,45,F,45,45,100,Michael Sustaita
Naida Gosney,7048384758173,GE,HSCR5,Aneurysm,14q32.12,Solvents,45,F,45,45,45,Carrie Klenk
Lyman Slavin,2262035736757,GT,ARHGEF6,Retinitis Pigmentosa 54,3p24-p22,Methylene chloride,45,M,45,45,100,Nidia Schaub
Marcelino Salzman,2560757885125,BS,ITLN1,Ethylene Glycol Poisoning,18q12.2,,45,M,45,45,100,Diamond Verge
Chere Serfass,0058672258118,CD,CFL2,Primary Cutaneous Cd4+ Small/medium-Sized Pleomorphic T-Cell Lymphoma,11q24.1,Diesel exhaust,45,M,45,45,100,Aja Deane
Willy Horne,5681388610047,CW,DNMT3A,Aortic Aneurysm,7p13,Hydrogen sulfide,45,M,45,45,100,Dannielle Heffley
Jodie Graves,0668006084427,GP,ATXN7,Familial Breast Cancer,9q34.3,,45,M,45,45,100,Zoe Upshur
Lezlie Bierce,2073800351426,ML,DNAJC12,Ischemic Optic Neuropathy Acute Myeloid Leukemia,17q12,Methylene chloride,45,M,45,45,100,Vito Nitz
Adelaide Grizzell,2112321154625,PK,CEP85L,Stromal Keratitis,1p34.3,,45,M,45,45,45,Jeremy Biel
Ute Julio,3306830255031,MT,FIG4,Microtia Meier-Gorlin Syndrome,1q24-q25,,45,F,45,45,100,Luna Oloughlin
Kenia Pahl,2502818771656,GH,HEMK1,Acute Lymphoblastic 3,1q12-q24,Diesel exhaust,45,M,45,45,100,Lesia Messing
Aide Holmgren,3526803617636,DO,LEPRE1,Alopecia Mental Retardation Syndrome 1,14q32.33,,45,F,45,45,45,Elisha ModlinKathleen Lavoie
Antonetta Osier,0111123136728,SK,ECTD5,Colorectal Cancer,17q21.2,Lead,45,F,45,45,100,Wynona Doby
Cora Pond,7647068785564,CK,1-Feb,Burkitts Lymphoma,Xp11,Chromium,45,F,45,45,45,Rosalie Sellers
Angelyn Romito,0037148380130,NC,DEL2P12P11.2,Bardet-Biedl Syndrome,2p16.3,,45,F,45,45,100,Elmo Quaranta
Blake Gladding,6363024715250,IE,CYP4F3,Idiopathic 2,11q12.3,Arsenic,45,F,45,45,100,Kendall Schutt
Abigail Hazan,6634030246781,VI,IL31,Basal Cell Carcinoma 5 Basal Cell Carcinoma,3p24-p21,Beryllium,45,M,45,45,45,Mariette Zeolla
Kaycee Foye,4763573070530,TM,AIMP1,Asthma,2q11.2,Diesel exhaust,45,M,45,45,100,Palmer Blow
Nena Bosworth,3034800158162,EE,AEBP1,Mental Retardation,1p36.12,Lead,45,F,45,45,100,Gerard Rodriquez
Shameka Goudy,0107617575735,AF,IRX2,Congenital Dyserythropoietic Anemia Congenital Dyserythropoietic Anemia Type I,HSCHR6_MHC_MANNp22.1,,45,F,45,45,100,Julianna Brownson
Ebony Cobbs,5874601836668,LK,BW32,Skin Lipoma,reserved,,45,F,45,45,100,Julissa Copeland
Carie Senecal,2051145881277,SG,DCAF5,Crohns Disease,2p22.1,,45,M,45,45,100,Beatrice Brice
Ilona Alegria,4860666885243,JP,DLX3,Suppurative Otitis Media,13q13.3,Toluene,45,M,45,45,100,Lynell Degen
Bernardo Beno,0273207152501,IE,ATF6,Cat-Scratch Disease Junctional Epidermolysis Bullosa,3p14.3,,45,F,45,45,100,Page Blanke
Cordie Frederic,8043631421400,UY,LECT1,Congenital Stationary Night Blindness,Xp11.4,Hydrogen sulfide,45,M,45,45,45,Selene Mcgavock
Keeley Gorney,3585764072325,PW,FPGS,Cornea Cancer,1q25.3,Metals toxic,45,F,45,45,100,Magen Luczak
Mariella Stermer,1652425550330,IL,CBX2,Hypoxia,Xp11,Beryllium,45,F,45,45,100,Estell Heidrick
Freda Roberts,7506286801862,AL,APOBEC3F,Fatty Acid Oxidation Disorders Temporal Lobe Epilepsy,17q21.31,,45,M,45,45,100,Zane Mellin
Deadra Yao,5808575565008,DJ,KRTAP20-1,Cholera,HSCHR6_MHC_COXp21.32,Beryllium,45,M,45,45,45,Herb Leland
Stefani Bachicha ,5468751248657,CN,IYD,Liver Cancer Noma,12q24.23,,45,F,45,45,100,Roscoe Castille
Ellan Klopfenstein,0222481677237,GT,DUSP10,Caudal Duplication,16q24.2-q24.3,,45,M,45,45,100,Estell Heidrick
Yuko Tapia,1667626747838,AQ,ATHS,Fetal Alcohol Spectrum Disorder,11q13.2,Toluene,45,M,45,45,100,Vito Nitz
Melida Donaldson,5854124228326,IR,CSF2,Alopecia Areata 1 Alopecia,1p34.3,,45,F,45,45,100,Reggie Conry
Lauryn Deputy,7734037840000,GY,4-Feb,Reduced Brain Density Of,14q32.32,,45,F,45,45,100,Cora Pond
Stephan Saleh,4844387118064,AS,KIF5B,And Dysequilibrium Syndrome 4,Xq26.1,Hydrogen sulfide,45,M,45,45,100,Moshe Rames
Doreen Mcbean,2114538874208,BA,IL1B,Breast Cancer,17q21.2,,45,F,45,45,100,Diamond Verge
Imelda Mciver,2134687440454,BF,APCS,Spastic Paraplegia 3A,6q12,,45,M,45,45,45,Florencio Poudrier
Jacquelynn Rosendahl,6034834745148,PN,AASTH17,Breast And Colorectal Cancer Colorectal Cancer,2q14-q21,Asphalt fumes,45,F,45,45,45,Roxana Monier
Aja Deane,8563415278620,GR,CHMP1A,Colorectal Adenocarcinoma,2p23.3,Diesel exhaust,45,F,45,45,100,Chere Serfass
Kristopher Tingley,4284247268828,US,IMMP2L,Myopic Chorioretinal Atrophy,11q13.1,Formaldehyde,45,M,45,45,100,Roxana Monier
Abigail Hazan,1688440458726,SN,CHEK1,Hypertension,4p12,Toluene,45,M,45,45,45,Margret Bostic
Vikki Chaney,4465313367241,AQ,FOXO4,Ureteral Disease,20q13.2-q13.32,,45,M,45,45,100,Marielle Pietrowski
Carl Gisi,8474431218585,LV,CHD4,Schizophrenia,2p16.1,Metals toxic,45,F,45,45,100,Claire Urias
Tiffany Wanamaker,2625648818138,LK,GAMT,Nuclear Type 3,12p13.33,Chromium,45,F,45,45,100,Delisa Sorenson
Lewis Agrawal,7806040367578,DO,CTRC,Post-Traumatic Stress Disorder,7q36.1,Chromium,45,F,45,45,45,Melina Botts
Terrance Ormond,2226775023111,BG,CDK15,Type 8,,,45,F,45,45,100,Angelyn Romito
Ismael Mcfaul,0678562166055,AO,CDB2,Basal Cell Carcinoma 4 Basal Cell Carcinoma,10q22.1,,45,M,45,45,100,Al Agnew
Georgetta Chynoweth,1214785250856,SV,ADHD3,Dependent Personality Disorder,HSCHR6_MHC_COXp21.32,Toluene,45,M,45,45,100,Nancey Hieb
Constance Massengale,4400164614183,BT,DFNB55,Dentatorubral-Pallidoluysian Atrophy,17q21.31,,45,F,45,45,100,Ann Bober
Beatrice Brice,5338641738205,EG,FAM155B,Breast Cancer,10q23.33,,45,M,45,45,100,Alethea Spruill
Bess Musil,7567716341276,KY,CLLS5,Breast Cancer,14q13.1,,45,F,45,45,100,Luisa Spainhour
Talitha Machado,5640235711131,GM,ANKH,Multiple Synostoses Syndrome,3p24-p22,Asphalt fumes,45,F,45,45,100,Mellie Suydam
Sharleen Caswell,0863743217438,TG,H2AFX,Hepatocellular Carcinoma,1p13.3,Solvents,45,F,45,45,100,Victoria Dame
Tynisha Whittlesey,4025108333087,PW,HSD17B14,Digenic,16p13.3,Hydrogen sulfide,45,F,45,45,100,Alfonso Widmer
Nidia Schaub,8720558410546,RO,KIF1B,Microphthalmia Syndromic 4,18q21.33,Toluene,45,F,45,45,100,Janey Hayslip
Cathleen Wilmoth,8440423111018,FR,CYP26C1,Breast Cancer Susceptibility Hypertensive Nephropathy,5q31.2,,45,F,45,45,100,Kitty Tempel
Marlys Brevard,1764155783187,SA,GAEC1,2-Methylbutyryl-Coa Dehydrogenase Deficiency Isovaleric Acidemia,4q27,,45,F,45,45,100,Lyn Vansant
Lynell Degen,5818168312822,LK,EPYC,Central Nervous System Cancer,3q13.2,,45,F,45,45,100,Sharleen Caswell
Zoe Upshur,7555816305768,GT,COL10A1,Caudal Duplication,8q,,45,M,45,45,100,Lettie Bobadilla
Tynisha Whittlesey,4056646882244,UA,LAMB2,Cholera,3q24,,45,F,45,45,100,Noelle Goley
Stefania Sigler,3055544565642,SL,AQP5,Multiple Synostoses Syndrome,17q24.2-q24.3,Chromium,45,M,45,45,45,Franchesca Ramer
Ulrike Donaghy,3670340282056,SV,B3GNT1,Morbid Obesity,7q31.1,,45,F,45,45,100,Zelda Hadaway
Ronna Tickle,1312013617275,AX,AMER2,Congenital Anosmia,2p11.2,,45,M,45,45,100,Isiah Campa
Hayley Pickrell,2331472483835,SM,IFI27,Attention Deficit Hyperactivity Disorder,5q14.1,Asphalt fumes,45,M,45,45,100,Alethea Spruill
Sol Loper,1560766270158,NA,DUP17Q12,Werdnig-Hoffmann Disease Liver Cancer,22q13.31,Solvents,45,M,45,45,100,Yuri Soares
Arminda Travers,5307087828211,JO,CPB1,Acth-Independent Macronodular Adrenal Hyperplasia,19q13.42,,45,M,45,45,100,Amparo Hamp
Marta Mccammon,2167860374551,NF,HDC,Cannabis Dependence,16p13.3,13-Butadiene,45,M,45,45,45,Margeret Heims
Talitha Machado,2801645751605,LA,KIF1A,Hermansky-Pudlak Syndrome 8,3q26.2,,45,M,45,45,100,Leena Stoneking
Angelyn Romito,4168607142788,GB,APPBP2,Type 1 Diabetes Mellitus Monogenic Diabetes,10q26.3,Beryllium,45,M,45,45,100,Otelia Vreeland
Trinh Lacasse,6535650704335,PY,CCA1,Glioblastoma,Xq23,Diesel exhaust,45,F,45,45,100,Layne Swearngin
